subject,predicate,object,type_s,type_o,urgency_level,recommended_action,safe_action,contraindicated_for,source_reference,confidence_level,last_updated
Chest pain,IS_RED_FLAG_FOR,Heart attack,Symptom,Condition,emergency,Call emergency services immediately; chew aspirin if advised by clinician,"Sit down, rest, avoid exertion",,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Chest pain,IS_ASSOCIATED_WITH,Angina,Symptom,Condition,urgent,See cardiology/GP for assessment,Rest and avoid exertion,,https://www.nhs.uk/conditions/angina/,high,2025-11-19
Left arm pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still and monitor breathing,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Left arm pain,IS_ASSOCIATED_WITH,Acute coronary syndrome,Symptom,Condition,emergency,Call emergency services immediately,"Sit down, stay calm",,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Left arm pain,IS_ASSOCIATED_WITH,Angina,Symptom,Condition,urgent,Cardiology assessment and risk stratification,Rest and avoid exertion,,https://www.nhs.uk/conditions/angina/,high,2025-11-19
Right arm pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still and monitor breathing,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Jaw pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Seek urgent help,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Jaw pain,IS_ASSOCIATED_WITH,Angina,Symptom,Condition,urgent,Cardiology assessment and risk stratification,Rest and avoid exertion,,https://www.nhs.uk/conditions/angina/,high,2025-11-19
Shoulder pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Back pain (upper),IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Back pain (upper),IS_RED_FLAG_FOR,Aortic dissection,Symptom,Condition,emergency,Call emergency services immediately; urgent surgical assessment,Keep patient still and calm,,https://www.nhs.uk/conditions/aortic-dissection/,high,2025-11-19
Cold sweats,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person calm,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Nausea with chest pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Keep person still,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Lightheadedness with chest pain,IS_ASSOCIATED_WITH,Heart attack,Symptom,Condition,emergency,Call emergency services immediately,Lie down if dizzy; avoid sudden movements,,https://www.nhs.uk/conditions/heart-attack/,high,2025-11-19
Palpitations,IS_ASSOCIATED_WITH,Arrhythmia,Symptom,Condition,urgent,See primary care/ECG if recurrent or syncope,Lie down if faint,,https://www.nhs.uk/conditions/abnormal-heart-rhythm-arrhythmia/,high,2025-11-19
One-side weakness,IS_RED_FLAG_FOR,Stroke,Symptom,Condition,emergency,Call emergency services immediately; note time of onset,Do not give food or drink if swallowing difficulty,,https://www.nhs.uk/conditions/stroke/,high,2025-11-19
Face drooping,IS_ASSOCIATED_WITH,Stroke,Symptom,Condition,emergency,Call emergency services immediately,Keep person still; note time of onset,,https://www.nhs.uk/conditions/stroke/,high,2025-11-19
Slurred speech,IS_ASSOCIATED_WITH,Stroke,Symptom,Condition,emergency,Call emergency services immediately,Keep person comfortable,,https://www.nhs.uk/conditions/stroke/,high,2025-11-19
Sudden vision loss,IS_RED_FLAG_FOR,Stroke,Symptom,Condition,emergency,Seek emergency ophthalmic or stroke care immediately,Avoid bright lights and note time of onset,,https://www.nhs.uk/conditions/stroke/,high,2025-11-19
Sudden severe headache,IS_RED_FLAG_FOR,Subarachnoid haemorrhage,Symptom,Condition,emergency,Call emergency services immediately,Keep person still; record time of onset,,https://www.nhs.uk/conditions/subarachnoid-haemorrhage/,high,2025-11-19
Seizure lasting >5 minutes,IS_RED_FLAG_FOR,Status epilepticus,Symptom,Condition,emergency,Call emergency services immediately,Protect from injury; do not force objects into mouth,,https://www.nhs.uk/conditions/epilepsy/,high,2025-11-19
Shortness of breath,IS_RED_FLAG_FOR,Pulmonary embolism,Symptom,Condition,emergency,Seek immediate emergency care,Keep patient calm and still,,https://www.nhs.uk/conditions/pulmonary-embolism/,high,2025-11-19
Shortness of breath,IS_ASSOCIATED_WITH,Asthma exacerbation,Symptom,Condition,urgent,Use reliever inhaler and seek urgent review if not improving,Sit upright and use prescribed inhaler,,https://ginasthma.org/,high,2025-11-19
Wheeze,IS_ASSOCIATED_WITH,Asthma,Symptom,Condition,routine,Follow asthma action plan,Use reliever inhaler if prescribed,,https://ginasthma.org/,high,2025-11-19
Productive cough with fever,IS_ASSOCIATED_WITH,Pneumonia,Symptom,Condition,urgent,See primary care for assessment; chest X-ray if indicated,Hydrate and rest,,https://www.nhs.uk/conditions/pneumonia/,high,2025-11-19
Cough >3 weeks,IS_ASSOCIATED_WITH,Tuberculosis,Symptom,Condition,urgent,Arrange chest X-ray and TB testing as per local guidelines,Isolate until evaluated if infectious risk,,https://www.who.int/health-topics/tuberculosis,high,2025-11-19
Severe abdominal pain,IS_RED_FLAG_FOR,Appendicitis,Symptom,Condition,urgent,Seek urgent surgical review,Avoid strong analgesics or food until evaluated,,https://www.nhs.uk/conditions/appendicitis/,high,2025-11-19
Blood in stool,IS_RED_FLAG_FOR,Gastrointestinal bleeding,Symptom,Condition,urgent,Attend ED for evaluation,Avoid NSAIDs until assessed,,https://www.nhs.uk/conditions/upper-gastrointestinal-bleeding/,high,2025-11-19
Persistent vomiting,IS_ASSOCIATED_WITH,Gastroenteritis,Symptom,Condition,routine,"Hydration, ORS at home; seek care if cannot keep fluids",Offer small sips of ORS if tolerated,,https://www.who.int/health-topics/diarrhoeal-disease,high,2025-11-19
Persistent vomiting with bilious (green) vomit,IS_RED_FLAG_FOR,Intestinal obstruction,Symptom,Condition,urgent,Immediate hospital evaluation required,Do not give food or fluids until assessed,,https://www.nhs.uk/conditions/intestinal-obstruction/,high,2025-11-19
Burning on urination,IS_ASSOCIATED_WITH,Urinary tract infection (UTI),Symptom,Condition,routine,Urine test and treat if bacterial; seek primary care,Hydration and analgesia,,https://www.nhs.uk/conditions/urinary-tract-infection/,high,2025-11-19
Flank pain radiating to groin,IS_ASSOCIATED_WITH,Kidney stone (urolithiasis),Symptom,Condition,urgent,Analgesia and imaging if severe,Hydration and seek ED if uncontrolled pain,,https://www.nhs.uk/conditions/kidney-stones/,high,2025-11-19
Blood in urine,IS_RED_FLAG_FOR,Urinary tract bleeding/tumour,Symptom,Condition,urgent,Medical evaluation with urinalysis and imaging,Do not ignore persistent haematuria,,https://www.nhs.uk/conditions/blood-in-urine-haematuria/,high,2025-11-19
High fever in infant <3 months,IS_RED_FLAG_FOR,Serious bacterial infection / Sepsis risk,Symptom,Condition,emergency,Immediate hospital assessment required,Do not delay; keep infant warm and hydrated,,https://www.nhs.uk/conditions/fever-in-children/,high,2025-11-19
No tears when crying (infant),IS_RED_FLAG_FOR,Severe dehydration,Symptom,Condition,urgent,Seek urgent medical attention; start ORS if advised,Give small frequent sips of ORS; continue breastfeeding,,https://www.who.int/health-topics/diarrhoeal-disease,high,2025-11-19
Bulging fontanelle,IS_RED_FLAG_FOR,Meningitis,Symptom,Condition,emergency,Immediate pediatric evaluation required,Keep infant calm; seek urgent transport,,https://www.nhs.uk/conditions/meningitis/,high,2025-11-19
Severe abdominal pain in pregnancy,IS_RED_FLAG_FOR,Ectopic pregnancy,Symptom,Condition,emergency,Immediate obstetric evaluation required,Lie down and avoid exertion,,https://www.nhs.uk/pregnancy/related-conditions/complications/bleeding-in-pregnancy/,high,2025-11-19
Heavy vaginal bleeding,IS_RED_FLAG_FOR,Miscarriage / Obstetric haemorrhage,Symptom,Condition,emergency,Seek emergency obstetric care immediately,Lie down; apply pressure if external bleeding,,https://www.nhs.uk/pregnancy/related-conditions/complications/bleeding-in-pregnancy/,high,2025-11-19
Reduced fetal movements after 28 weeks,IS_RED_FLAG_FOR,Fetal compromise,Symptom,Condition,urgent,Contact maternity unit urgently for fetal monitoring,Lie on side and count movements,,https://www.nhs.uk/pregnancy/related-conditions/reduced-fetal-movements/,high,2025-11-19
Non-blanching rash / petechial rash,IS_RED_FLAG_FOR,Meningococcal sepsis,Symptom,Condition,emergency,Go to emergency department immediately,Keep child still; avoid delay in transport,,https://www.nhs.uk/conditions/meningitis/symptoms/,high,2025-11-19
Red swollen painful area of skin,IS_ASSOCIATED_WITH,Cellulitis,Symptom,Condition,urgent,Medical review and antibiotics if spreading,Keep area elevated and clean,,https://www.nhs.uk/conditions/cellulitis/,high,2025-11-19
Polyuria and polydipsia,IS_ASSOCIATED_WITH,Diabetes mellitus,Symptom,Condition,routine,Check blood glucose and see GP,Hydration and medical review,,https://www.who.int/health-topics/diabetes,high,2025-11-19
Severe drowsiness in diabetic,IS_RED_FLAG_FOR,Diabetic ketoacidosis,Symptom,Condition,emergency,Go to ED for urgent metabolic management,Do not give oral fluids if altered consciousness,,https://www.nhs.uk/conditions/diabetic-ketoacidosis-dka/,high,2025-11-19
Severe sweating and tremor in diabetic,IS_RED_FLAG_FOR,Hypoglycaemia,Symptom,Condition,emergency,Give fast-acting carbohydrate if conscious; call emergency if not,Give glucose gel/juice if conscious,,https://www.nhs.uk/conditions/hypoglycaemia/,high,2025-11-19
High fever with rash,IS_RED_FLAG_FOR,Meningococcal sepsis,Symptom,Condition,emergency,Go to emergency department immediately,Keep patient warm and monitor breathing,,https://www.nhs.uk/conditions/meningitis/,high,2025-11-19
Fever with very low blood pressure and confusion,IS_RED_FLAG_FOR,Sepsis,Symptom,Condition,emergency,Seek emergency medical care immediately,Monitor breathing and consciousness; keep warm,,https://www.who.int/health-topics/sepsis,high,2025-11-19
Suicidal thoughts,IS_RED_FLAG_FOR,Mental health crisis / Suicide risk,Symptom,Condition,emergency,Contact emergency services or crisis line immediately,Stay with person; remove access to means of harm,,https://www.who.int/news-room/fact-sheets/detail/suicide,high,2025-11-19
Self-harm with severe injury,IS_RED_FLAG_FOR,Medical & psychiatric emergency,Symptom,Condition,emergency,Attend ED and arrange psychiatric follow-up,Ensure immediate safety and wound care,,https://www.nhs.uk/mental-health/concerns/self-harm/,high,2025-11-19
Sudden hearing loss,IS_RED_FLAG_FOR,Sudden sensorineural hearing loss,Symptom,Condition,urgent,Seek urgent ENT or audiology assessment,Avoid loud noise exposure,,https://www.nhs.uk/conditions/sudden-hearing-loss/,high,2025-11-19
Drooling/refusal to swallow,IS_RED_FLAG_FOR,Peritonsillar or retropharyngeal abscess (airway risk),Symptom,Condition,urgent,Immediate ENT or ED assessment,Keep child seated and do not force oral intake,,https://www.nhs.uk/conditions/peritonsillar-abscess/,high,2025-11-19
Sudden painless vision loss,IS_RED_FLAG_FOR,Retinal artery occlusion,Symptom,Condition,emergency,Seek emergency ophthalmology or stroke care immediately,Avoid bright lights; note time of onset,,https://www.nhs.uk/conditions/retinal-detachment/,high,2025-11-19
Eye chemical splash,IS_RED_FLAG_FOR,Corneal burn / eye emergency,Symptom,Condition,emergency,Irrigate eye with clean water for 15+ minutes and seek urgent ophthalmic care,Flush eye continuously; do not rub,,https://www.nhs.uk/conditions/eye-injury/,high,2025-11-19
Major trauma with deformity,IS_RED_FLAG_FOR,Open fracture,Symptom,Condition,emergency,Call emergency services and immobilize limb,Apply pressure to bleeding; avoid moving until stabilized,,https://www.cdc.gov/traumaticbraininjury/index.html,high,2025-11-19
Large-area burns,IS_RED_FLAG_FOR,Severe burn,Symptom,Condition,emergency,Call emergency services and arrange burn centre care,Cool burn with running water for 20 minutes,,https://www.nhs.uk/conditions/burns-and-scalds/,high,2025-11-19
Post-coital bleeding,IS_RED_FLAG_FOR,Cervical pathology (possible),Symptom,Condition,urgent,Arrange urgent gynaecology or colposcopy referral,Avoid sexual activity until assessed,,https://www.nhs.uk/conditions/abnormal-uterine-bleeding/,high,2025-11-19
Vaginal discharge with fishy odour,IS_ASSOCIATED_WITH,Bacterial vaginosis,Symptom,Condition,routine,See GP or sexual health clinic for testing and treatment,Avoid douching and scented products,,https://www.nhs.uk/conditions/bacterial-vaginosis/,high,2025-11-19
Unexplained weight loss,IS_ASSOCIATED_WITH,Underlying malignancy (possible),Symptom,Condition,urgent,Refer for urgent investigation per local guidelines,Document weight and symptoms,,https://www.nhs.uk/conditions/unexplained-weight-loss/,high,2025-11-19
Rash with target lesion,IS_ASSOCIATED_WITH,Erythema multiforme / Stevens-Johnson spectrum,Symptom,Condition,urgent,Seek urgent assessment if mucosal involvement,Stop suspected offending drug and seek care,,https://www.nhs.uk/conditions/stevens-johnson-syndrome/,high,2025-11-19
Rash that itches and spreads,IS_ASSOCIATED_WITH,Allergic contact dermatitis,Symptom,Condition,routine,Identify and avoid the trigger; topical emollients,Avoid further exposure to allergen,,https://www.nhs.uk/conditions/contact-dermatitis/,high,2025-11-19
Sudden unilateral leg swelling and pain,IS_RED_FLAG_FOR,Deep vein thrombosis,Symptom,Condition,urgent,Arrange ultrasound and anticoagulation assessment,Limit walking and seek review,,https://www.nhs.uk/conditions/deep-vein-thrombosis-dvt/,high,2025-11-19
New painful non-healing ulcer,IS_ASSOCIATED_WITH,Diabetic foot ulcer / infection,Symptom,Condition,urgent,Specialist wound care and debridement; assess for osteomyelitis,Offload pressure and keep clean,,https://www.nhs.uk/conditions/foot-ulcer/,high,2025-11-19